x,y,ridge_diff_velocity_scaled
672818.8281444218,-1453749.398893803,-7.490463093197961
672572.5873008659,-1453792.142882385,-4.041024368598349
672325.9154254282,-1453832.6204857954,0.281175623098216
672079.9020308267,-1453877.0086165385,2.0094201617181366
671834.259744267,-1453923.466918667,-31.230532947827925
671588.3542284162,-1453968.4548298048,27.670434466278213
671342.0822875865,-1454011.4218724826,3.420814898395399
671095.9007328141,-1454054.9225241626,-16.768095177759804
670849.6919395837,-1454098.2743520446,-6.867185491067082
670603.0699751386,-1454139.1631735722,-1.504577117477191
670356.6087339717,-1454180.8712239456,-10.643180160354829
670110.8109690194,-1454226.36831579,-13.687266347400167
669865.1798544214,-1454272.795158054,2.2253533187672074
669619.1805809131,-1454317.2183636404,-0.21912130577391142
669372.6546366328,-1454358.5130766812,-1.9422280156807332
669125.0757697199,-1454392.3987386294,-1.2460562368246393
668877.0470233203,-1454423.3189837323,1.6571633641146821
668630.3345473724,-1454462.9815746197,3.4182711429535866
668385.1018095003,-1454511.3003642072,4.08239184860464
668139.7054329915,-1454558.8237424355,11.118939556650433
667893.9215016558,-1454604.4206043063,-1.7541993621850462
667648.2296597359,-1454650.471607854,-1.1181692090505404
667401.846499782,-1454692.6424713281,5.540433897858855
667154.9187242982,-1454731.6955826955,3.115956041378645
666907.8471052041,-1454769.8245694065,2.343564440952032
666660.7569800417,-1454807.8367317016,3.274671697477899
666413.9162332067,-1454847.3922501775,0.2602086630027527
